Character,Line
MRS. GELLER, Well that's wonderful. . . I
MONICA," Mom, it's OK."
RICHARD, It is Judy.
MRS. GELLER, Jack. Could you come in here for a moment? NOW!
MR. GELLER, [enters with his bat] Found it.
ROSS, I'll take that dad. [grabs the bat]
MRS. GELLER, It seems your daughter and Richard are something of an item.
MR. GELLER," That's impossible, he's got a twinkie in the city."
MONICA," Dad, I'm the twinkie."
MR. GELLER, You're the twinkie?
RICHARD, She's not a twinkie.
MONICA," Al-alright, l-look you guys, this is the best relationship I've been in. . ."
MRS. GELLER," Oh please, a relationship."
MONICA," Yes, a relationship. For your information I am crazy about this man."
RICHARD, Really?
MONICA, Yes.
MR. GELLER, Am I supposed to stand here and listen to this on my birthday?
MONICA," Dad, dad this is a good thing for me. Ya know, and you even said yourself, you've"
MR. GELLER, When did I say that?
MONICA, Upstairs in the bathroom right before you felt up mom.
[Scene, Tattoo parlor. Rachel is showing Phoebe her tattoo.]
PHOEBE," Oh that looks so good, oh I love it."
RACHEL," I know, so do I. Oh Phoebe, I'm so glad you made me do this. OK, lemme se yours."
PHOEBE," Ahh. OK, let's see yours again."
RACHEL," Phoebe we just saw mine, let me see yours."
PHOEBE," Oh OK. [pulls over her shirt and shows a bare shoulder] Oh no, oh it's gone,"
RACHEL, You didn't get it?
PHOEBE, No.
RACHEL, Why didn't you get it?
PHOEBE," I'm sorry, I'm sorry."
RACHEL," Phoebe, how would you do this to me? This was all your idea."
PHOEBE," I know, I know, and I was gonna get it but then he came in with this needle and"
RACHEL," Really? You don't say, because mine was licked on by kittens."
[Scene, Chandler and Joey's apartment. Chandler is at the bar and Joey enters.]
JOEY, Hey.
CHANDLER, Hey.
JOEY," Hey listen, I'm sorry about what happened. . ."
CHANDLER, Yeah me too.
JOEY, I know. Yeah.
CHANDLER, Yeah. So do we need to hug here or. . .
JOEY," No, we're alright."
CHANDLER, So I got ya something. [tosses Joey a bag of plastic spoons]
JOEY, Plastic spoons. Great.
CHANDLER, Lick away my man.
JOEY," These'll go great in my new place. You know, 'till I get real ones."
CHANDLER, What?
JOEY," Well, I can't use these forever. I mean, let's face it, they're no friend to the"
CHANDLER," No-no, I mean what, what's this about your new place?"
JOEY, I'm movin' out like we talked about.
CHANDLER, Well I didn't think that was serious. [grabs the spoons back] Ya know I thought
JOEY," Well, it was a fight. . . based on serious stuff, remember. About how I never lived"
CHANDLER," Well, there you go."
JOEY," Hey, are you cool with this. I mean, I don't want to leave you high and dry."
CHANDLER," Hey, no, I've never been lower or wetter. I'll be fine. I'll just turn your, uh,"
JOEY, Woah. Why do you get to keep the table?
CHANDLER, I did pay for half of it.
JOEY," Yeah. And uh, I paid for the other half."
CHANDLER," Alright I'll tell you what, I'll play you for it."
JOEY," Alright, you're on. I can take two minutes out of my day to kick your ass."
CHANDLER, Your little men are gonna get scored on more times than your sister.
JOEY," Woah, woah, woah, woah. Which sister?"
[Scene, Monica and Rachel's apartment. Monica and Richard are setting the table.]
MONICA," So, are you sorry that I told them?"
RICHARD," No, it's been a long time since your dad and I went running."
RACHEL, Oh.
MONICA, Oh. Well did you get it? Let me see.
RACHEL, Is Ross here?
MONICA, No he went out to get pizza.
RACHEL," Oh really, OK. [shows Monica her tattoo]"
MONICA, That's great.
RICHARD, Very tasteful.
PHOEBE," Wanna see mine, wanna see mine?"
MONICA, Yes.
RACHEL, What? You didn't get one.
PHOEBE," OK, well then what is this? [shows her bare shoulder]"
RICHARD, What're we looking at? That blue freckle?
PHOEBE," OK, that's my tattoo."
RACHEL," That is not a tattoo, that is a nothing. I finally got her back in the chair,"
PHOEBE," OK, hi. For your information this is exactly what I wanted. This is a tattoo of"
RACHEL," Oh, what a load of crap. That is a dot. Your mother is up in heaven going, 'Where"
ROSS, You got a tattoo?
RACHEL, Maybe. But just a little one. Phoebe got the whole world.
ROSS, Lemme see. [looks]
RACHEL, Well?
ROSS, Well it's really. . . sexy. I wouldn't have thought it would be but. . . wow.
RACHEL, Really?
ROSS," Yeah, so uh, is it sore or can you do stuff?"
RACHEL, I guess.
ROSS," Hey, save us some pizza. [they go off to Rachel's room]"
[Scene, Chandler's apartment. Chandler and Joey are playing foosball for the table.]
JOEY," Get out of the corner. Pass it, pass it."
CHANDLER, Stop talkin' to your men. [Joey scores]
JOEY, Yes! And the table is mine.
CHANDLER, Congratulations. [Chandler leaves]
[Scene, Chandler's apartment. The whole gang is helping Joey pack.]
JOEY," Hey, you guys are still gonna come visit me, right?"
CHANDLER," Oh yeah, you got the big TV. We'll be over there all the time. . . [Chandler"
PHOEBE, I know you're just moving uptown but I'm really gonna miss you.
MONICA," I know, how can you not be accross the hall anymore."
RACHEL," Yeah, who's gonna eat all our food, and tie up our phone lines, and - is that my"
JOEY," Oh no-no, it's uh, it's not what you think. We uh, we used it to, you know, fling"
CHANDLER," [quietly] Yeah, I remember."
ROSS," Hey, let's bring the rest of these down to the truck."
CHANDLER," So, uhh, em, you want me to uh, give you a hand with the foosball table?"
JOEY," Naa, you keep it, you need the practice."
CHANDLER, Thanks.
JOEY," So, I guess this is it."
CHANDLER," Yeah, right, yeah, I guess so."
JOEY," Listen, uh, I don't know when I'm gonna see you again."
CHANDLER," Well, I'm guessing uh, tonight at the coffee house."
JOEY," Right, yeah. OK. Um, take care."
CHANDLER, Yeah.
[Scene, Joey's new apartment. Everyone but Chandler is there. Joey has
JOEY, Huh? So whaddya think? Casa de Joey. Huh? I decorated it myself.
ROSS, Get out.
ALL, No.
MONICA," [looking at some kind of glass sculpture thing] Wow Joey, this is, uhh..."
JOEY, Art.
MONICA, Art it is.
ROSS," [looking at a glass table with a panther shaped base] Look, check this out. Is it a"
RACHEL," [holding a pillow made out of 4 inch red fur] Hey, nice pillow. So now tell me, is"
PHOEBE, [looking at a water sculpture that looks like a window with rain running down it]
JOEY," Thanks, yeah. I love this but ya know what, it makes me wanna pee."
PHOEBE," Yeah, well me too, yeah. I think that's the challenge."
JOEY," Hey, how come, uhh, Chandler didn't come?"
ROSS," Well uh, it's cause he had a thing with, wi-, with the thing."
JOEY," Right, I go-, I got it."
PHOEBE, So why don't ya show us the rest of your casa?
JOEY," Yeah. Uh, oh, OH, the best part, c'mon. [leads them to the bathroom, gestures"
RACHEL," Hey, nice toilet."
JOEY," No no no, behind it."
ROSS," Wha-, you have a phone in here?"
JOEY," That's right, I have a phone in here."
MONICA," Joey, promise me something."
JOEY, Yeah.
MONICA, Never call me from that phone.
[Scene," Central Perk. Monica, Chandler, and Ross are seated. Rachel is walking over"
RACHEL," OK, here we go. Honey, I'm sorry, they were all out of apple pie, someone just got"
PHOEBE," Oh my God, oh my God, oh my God, oh my God. You are not gonna believe this. I have"
CHANDLER," Now wait a minute, I claimed you in the name of France four years ago."
PHOEBE," Anyway, OK, now promise you won't like, freak out and say how great this is until"
ALL, OK.
PHOEBE," OK. I just met this producer of this like, teeny record company, who said that I"
ALL, [congradulating her and celebrating]
PHOEBE," I told you not to do that yet. And, she wants to do a video."
ALL, [celebrating more]
PHOEBE," I'm not done yet, OK. God. OK, if that goes well, they may even want to make an"
PHOEBE, I'm done now.
ALL, [celebrating]
RACHEL," Oh God. Ross, OK, if you care about me at all, you will get the pie out of the"
ROSS, Get the what?
RACHEL," Pie in the hood, pie in the hood. Go."
GUY, What're you doing?
ROSS," I'm sorry, my pie was, was in your hood. Now I just have to get the coffee out of"
[Scene, Monica and Rachel's apartment. Monica is outside the bathroom yelling at Ross
MONICA," Damnit Ross, get your butt out of the bathroom."
ROSS," Calm down, I'm blow drying."
MONICA," Blow drying what, you have no hair."
RACHEL, What's goin' on?
MONICA," Your boyfriend has been in there for over an hour. I can't believe it, it's like"
RACHEL," Well, you're not sixteen, you're both adults now."
MONICA, GET OUT YOU DUFUS!!
RACHEL," Or ya know, he's rubber and you're glue."
ROSS, [comes out] All yours.
MONICA, I hope you cleaned your hair out of the drain.
ROSS, [in a childish voice] I hope you cleaned your hair out of the drain.
MONICA, Shut up.
ROSS, [childish voice] Shut up.
MONICA, Cut it out.
ROSS, [childish voice] Mi-mi-mii.
RACHEL, [sarcastically] I've never wanted you more.
[Scene, Chandler's apartment. Chandler is sitting on the bar wearing huge dog-slippers]
CHANDLER," So, whaddya say boys, should I call him? [squeezes the ear of one of the"
JOEY, Hello.
CHANDLER, Hey.
JOEY, Hey!
CHANDLER," Listen, I'm, I'm sorry I didn't make it over there today."
JOEY," Oh, that's OK. You uh, you had a thing."
CHANDLER," Yeah well, I hear the place looks great."
JOEY," Ahh, forget about it, I'm havin' a ball. How's the apartment doin'"
CHANDLER," Oh hey, it's, it's terriffic. I mean it's a regular space... fest."
JOEY," Oh, well great."
CHANDLER, Yeah I just... wanted to call and say hey.
JOEY, Well OK then. [oven timer goes off behind Chandler] Was that the oven timer?
CHANDLER, That's right my friend. It's time for...
BOTH, Baywatch!! [both turn on TV's]
JOEY," Oh, can you believe they gave Stephanie skin cancer?"
CHANDLER, I still can't believe they promoted her to lieutenant.
JOEY," Naa, you're just sayin' that 'cause you're in love with Yasmine Blepe."
CHANDLER," Well, how could anyone not be in love with Yasmine Blepe?"
JOEY," Hey, hey, they're runnin'"
CHANDLER," See, this is the brilliance of the show. I say always keep them running. All the"
[Scene, Central Perk. Joey is sitting between Monica and Phoebe.]
MONICA, But I thought you wanted to live by yourself.
JOEY," I did. I thought it'd be great. I figured I'd have like, time alone with my thoughts"
PHOEBE," Joey, why don't you talk to Chandler about moving back?"
JOEY," You really think he'd take me? I mean, we had a pretty good talk last night but,"
MONICA," I promise you, he would definitely want you back."
[Scene, Chandler's apartment. Chandler is sitting between Rachel and Ross.]
ROSS," I'm telling you, there's no way he's moving back."
CHANDLER," But we had one of the greatest talks we ever had last night. I mean it was, it"
ROSS," Look, I know you don't want to hear this right now but, we've seen him in his new"
RACHEL," Look, Chandler, he has moved on, OK, you have to too."
CHANDLER, But...
ROSS," No. You're just gonna have to accept the fact that you're just friends now, OK,"
[Scene, Recording studio. Phoebe is getting ready to record Smelly Cat.]
PRODUCER," OK Phoebe, you ready to try one?"
PHOEBE," OK. [singing] Smelly cat, smell-ly cat, what are they feeding you? Smelly cat"
PRODUCER,They're your backup singers... beind you.
PHOEBE," OH!! Oh I thought they were just watching me. You know, like at, like at an"
PRODUCER, Alrighty. From the top.
PHOEBE," OK. [singing] Smelly cat, smell-ly cat, what are they feeding you? Smelly cat"
PRODUCER," Honey, uh we, we can talk about this. It's just that it's costing about a"
PHOEBE," Oh OK. So, um, the cat stinks but you love it, let's go."
[Scene, Monica and Chandler's apartment. Ross is on the phone.]
ROSS," No, there is no way he was a velociraptor. No Tony, look at the cranial ridge, OK."
MONICA, I was.
ROSS," Oh I-, Oh wait, Tony can you hang on? That's the other line. [gets the other line]"
MONICA, Did she leave a number?
ROSS, Did you see me write one down?
MONICA," I don't have her number, butt-munch."
ROSS," Well, she'll call back, don't be such a baby."
MONICA," I'm not a baby, you're the baby."
ROSS," Look, you wanna get off my back?"
MONICA, You wanna get out of my face?
ROSS," Wait hold on Tony, hold on. [answers second line] Hello. Hi, yeah no, she's right"
MONICA, Give me that.
ROSS, OK.
MONICA," Hi sweetie, look before I forget, did I leave my diaphram at your place? Hi mom."
[Scene," Chandler's apartment. Chandler is sitting on the bar, bouncing a ball against"
JOEY, Hey.
CHANDLER," So uhh, how's the palace?"
JOEY, You know it's funny you should mention that 'cause I was thinkin'... what's with the
CHANDLER," Oh, uhh, actually I uh, have some news."
EDDIE," Hey Chan, is that Joey guy gonna come by and pick up his moose hat or should I just"
CHANDLER," Well, uh, why don't you ask him yourself. Joey, this is my new roommate Eddie."
EDDIE, Nice to meet ya.
JOEY," Likewise. Uh, I'll take that. [grabs moose hat] It's what I came for. So, this is"
EDDIE," At the uh, supermarket, in the uh, ethnic food section. I helped him pick out a"
JOEY, Wow.
CHANDLER," Well you know, we got to talking and uh, he said he needed a place and I had a"
JOEY," Oh, now it's a spare room?"
CHANDLER," Well yeah, in that it's not being used and I... have it to spare."
JOEY," Well I uh, got what I came for. [puts on moose hat] I'll uh, I'll see you guys."
CHANDLER, Hey Jo. When'd you start usin' mousse in your hair?
EDDIE, [annoying laugh] Is this guy great or what?
JOEY," Yeah, yeah he is. [leaves]"
[Scene," Monica and Rachel's apartment. Monica, Rachel, and Ross are there.]"
MONICA, I can't believe he has a new roommate. Who is this guy?
ROSS," Uh, Eddie something. He just met him."
RACHEL," It'll never last, he's just a rebound roommate."
PHOEBE, Hey.
ALL, Hey.
PHOEBE," Oh, check it out, oh check it out. It's Smelly Cat the video."
ALL, [cheer]
PHOEBE," Now OK, I haven't seen it yet so, if you don't like it, well, so what, none of you"
PHOEBE, Oh my God.
ROSS, I know.
PHOEBE," I sound amazing. I, I, I've never heard myself sing before. I mean, except in my"
RACHEL," Pretty uhm, different huh?"
PHOEBE," Oh, I am sorry but I am incredibly talented."
[Scene, Chandler and Eddie's apartment. Joey stops by. Chandler is reading the paper
EDDIE," Hi Joey, what's goin' on man?"
JOEY, Eddie.
CHANDLER, Morning.
JOEY," Morning. I just uh, came by to pick up my mail. [looks for the mail on the table by"
CHANDLER," Oh it's uh, over there on the table."
JOEY, You don't keep it over here on this table any more?
CHANDLER," No, Eddie likes to keep it over there."
EDDIE," Alright, here you go my friend. Eggs a-la Eddie, huh?"
CHANDLER," Oh, ooh."
JOEY, Huh.
CHANDLER, What?
JOEY," No I just uh, thought you liked your eggs with the bread with the hole in the"
CHANDLER," Well I do, but uh, Eddie makes them this way and, well they're pretty darn good."
EDDIE," Well you guys, I'm outta here. See ya pals."
CHANDLER, See ya. [Eddie leaves]
JOEY, So how you two gettin' along?
CHANDLER," Oh, I couldn't be happier."
JOEY," Great, well, I'm happy for ya. [picks up the orange juice carton and it's empty]"
CHANDLER, There's another carton right over there.
JOEY," Hey, this isn't about juice anymore, alright man."
CHANDLER," Alright, so what's it about?"
JOEY," Eggs. Who's eggs do you like better, his or mine, huh?"
CHANDLER, Well I like both eggs equally.
JOEY, Oh come on. Nobody likes two different kinds of eggs equally. You like one better
CHANDLER," Well what's the difference? Your eggs aren't here anymore, are they? You took"
[Scene, Monica and Rachel's apartment. Ross and Monica are fighting over the remote.]
MONICA, I wanna watch Entertainment Tonight.
ROSS," Tough noogies, we're watching Predators of the Serengetti."
RACHEL, Would you guys stop.
MONICA, It's my TV.
ROSS," Wha-, oh, quit it."
MONICA, Bite me.
RACHEL, Oh my God.
ROSS," Well, Monica keeps changin' the channel."
MONICA," Oh that's great, why don't you tell mommy on me."
RACHEL," Now I'm mommy in this little play? Alright look, I refuse to get sucked into this"
MONICA," OK, what're we gonna do about this?"
ROSS," Well, I guess we could tape Entertainment Tonight."
MONICA," Not that, this, US. Oh my God, Ross, you-re, you're, it's jus-, you-, ever sin-"
ROSS," Ow, ow, OK. Alright, alright, Mon, Mon, you've gone ultrasonic again, alright."
MONICA, I just can't stand you being here all the time.
ROSS," Why, why, why can't you stand me being here? I don't, I, we're just, ya know, we're"
MONICA," Fun? Fun, you think this is fun?"
ROSS," Yeah, c'mon I mean I though, you know, I thought we're just foolin' around. Like"
MONICA," Ross, I hated you when we were kids."
ROSS, You hated me when we were kids?
MONICA," Yes. I hated you. I mean I, I, loved you in a 'you're my brother so I have to'"
ROSS, Why did you hate me?
MONICA," Because, you were mean to me and you, you teased me and you always, always got"
ROSS, And that wasn't fun for you?
MONICA, Duh-huh!
ROSS, I can't believe you hated me.
MONICA, Now I love you. And not just 'cause I have to.
ROSS, Really?
MONICA, Yeah. You're just gonna have to stop pissing me off.
ROSS, I can do that.
MONICA, Then I won't have to kill you.
ROSS," So you wanna watch uh, Entertainment Tonight?"
MONICA," Yeah, thanks. You know what?"
ROSS, What?
MONICA," If you really want to watch that Serengetti thing, you can."
ROSS, Ohh... OK. [changes the channel]
[Scene," Central Perk. Ross, Rachel, and Monica are hanging out.]"
PHOEBE, Hey.
ALL, Hey.
PHOEBE," Listen. You are not going to believe this but, that is not me singing on the"
ALL, No.
PHOEBE, Yes.
RACHEL," Well, how did you find out?"
PHOEBE," Well, OK, the record company sent over this piece of paper for me to sign, saying"
MONICA, So what're you gonna do?
PHOEBE," Well, I can't work with people who would do this."
MONICA, Sure.
PHOEBE, I mean this poor woman.
ROSS, What woman?
PHOEBE," The voice woman. Ya know, I mean, she has a great voice but she doesn't have a"
RACHEL," OK, Phoebs. But what about you?"
PHOEBE," Well I have a video, you have to pay attention. No this, this voice woman, she's"
[Scene, Chandler and Eddie's apartment.]
CHANDLER," Hey Eddie, you uh, wanna play some foosball?"
EDDIE," No thanks man, I'm not uh, I'm not really into sports."
CHANDLER," [stares in disbeliefe] Yeah o-, OK, alright. [oven timer goes off] Doesn't"
EDDIE," Y-, y-, you like that show?"
CHANDLER, You don't like that show?
EDDIE," Wha-, n-, no. I mean it's just a bunch of pretty people runnin' around on the"
CHANDLER, Well that's the brilliance of it. The pretty people... and the running.
EDDIE," I tell ya, I-, I'm gonna go read in my room for a little while."
CHANDLER," Oh o-, OK man."
[Scene, Central Perk. Phoebe is performing Smelly Cat.]
PHOEBE," [singing] Smelly cat, smell-ly cat, what are they feeding you? Everybody."
ALL," Smelly cat, smell-ly cat, it's not your fault."
PHOEBE, Monica.
MONICA, [sings] They won't take you to the vet.
PHOEBE, Chandler.
CHANDLER, [reluctantly sings] You're obviously not their favorite pet.
MONICA, Joey.
JOEY, [sings] It may not be a bed of roses.
PHOEBE, Rachel.
RACHEL, [sings] And you're no friend to those with noses.
PHOEBE," Uh, Ross, those are the only lines we have, sorry. OK, you guys, once more."
[Scene, Monica and Rachel's apartment. Everyone except Ross is there
AMBER, Oh Drake.
DR. REMORE, I'm sorry Amber. It's just like Brad to have to have the last word.
ROSS," I'm sorry I'm late, what happened?"
MONICA," We, we just wanna see the end."
AMBER, I want you Drake.
DR. REMORE, I know you do but you and I can never be together that way.
AMBER, What?
DR. REMORE, There's something I never told you Amber. I'm actually your half- brother.
RACHEL, So what happens next?
 JOEY," Well, I get the medical award for separating the siamese"
CHANDLER, God that is good TV.
[Scene, Chandler and Eddie's apartment. Chandler is at the foosball table trying to get
 CHANDLER," Phoebs, play with meeee."
PHOEBE, No. This game is grotesque. Twenty armless guys joined at the waist by a steel
 CHANDLER," Ya know Phoebs, don't feel so bad for 'em. After they're"
PHOEBE, Why don't you play with your roommate?
CHANDLER," Ah he's a, he's not a big fan of foosball."
PHOEBE," Uh oh, ooh, are we not getting along with the new boy?"
CHANDLER," No he's, he's alright, just uh, he spends most of his time in his room."
PHOEBE, Maybe that's because you haven't taken the time to get to know him. Let's remedy
CHANDLER, We don't need to remedy that.
PHOEBE," Oh yeah, it'll be fun. [throws a tennis ball at Eddie's bedroom door]"
EDDIE, What was that?
 PHOEBE," Hi, um, I just thought that it would be fun if the three of"
EDDIE," Yeah alright, that sounds alright."
PHOEBE," Oh good, ok. Oh nooo, I have to go because I'm late for my um, Green Eggs and Ham"
CHANDLER, That was so lame.
PHOEBE," I know, yeah. Ok, talk to him. [leaves]"
CHANDLER," So, you uh, you think that Speed Racer guy gets a lot of tickets er?"
[Scene, Chandler and Eddie's apartment. Chandler and Eddie are talking.]
EDDIE," That's good, that's good. So, so, so who broke up with who?"
 CHANDLER, What're you kidding? I broke up with her. She actually
EDDIE," That's good man, when everybody knows that the uh, the capital of Cambodia is uh..."
CHANDLER, Well it's not Sean Penn.
 EDDIE," Not Sean Penn. Alright, I, I've got a funny one, alright. My"
[Scene," Central Perk. Phoebe is singing. Monica, Richard, Ross, and Rachel are"
 PHOEBE, And a crusty old man said I'll do what I can and the rest
RICHARD," Phoebe's got another job, right?"
 RACHEL, Great set tonight Phoebs.
PHOEBE, I know.
ROSS," Well, we should probably get going."
RICHARD," Um, we should go too, I got patients at 8 in the moring."
 MONICA," Ya know, I was thinking. Ya know how we always stay at your"
RICHARD," I don't know, I don't have my jammies."
MONICA," Well, maybe you don't need them."
ROSS," My baby sister, ladies and gentlemen."
MONICA," Shut up, I'm happy."
PHOEBE," Oh, this is so nice. Alright I have to make a speech. I just wanna say that of all"
RICHARD," Oh, thank you Phoebs. That's very sweet."
PHOEBE, Ok.
 RICHARD," Hear that? She likes me best, and apparently there've been"
MONICA," Not a lot, Phoebe's kidding, Phoebe's crazy."
RACHEL, Phoebe's dead.
[Scene, Chandler and Eddie's apartment. Chandler is there. There's a knock at the door.
TILLY, Hi.
CHANDLER, Hi.
 TILLY, I'm looking for Eddie Minowick.
CHANDLER," Oh, uh, he's not here right now, uh, I'm Chandler, can I take a message, or, or"
TILLY, Thanks.
CHANDLER," Oh, oh, c'mon in."
 TILLY, I'm Tilly.
CHANDLER, Oh.
TILLY, I gather by that oh that he told you about me.
CHANDLER," Oh yeah, your uh, name came up in a uh, conversation that terrified me to my"
 TILLY, He's kind of intense huh?
CHANDLER," Yes. Hey, can I ask you, is Eddie a little..."
EDDIE, [walks around corner] A little what?
CHANDLER, Bit country? C'mon in here you roomie.
EDDIE, Hello Tilly.
TILLY," Eddie, I just came by to drop off your tank."
EDDIE, That's very thoughtful of you. It's very thougtful.
TILLY," Well, ok then. I'm gonna go. Bye."
EDDIE, Bye-bye.
CHANDLER, Bye.
CHANDLER," So, we gettin' a fish?"
EDDIE, You had sex with her didn't you?
[Scene, Central Perk. Joey enters with several magazines and runs up to Phoebe.]
JOEY," Phoebs, check it out, check it out, check it out, check it out."
PHOEBE," Oh, ooh, Soap Opera Digest, oh that's one of my favorite digests."
JOEY," Page 42, page 42, page 42."
PHOEBE," Ok, ok, ok. Ooh, hey 'new doc on the block, Days of Our Lives' Joey Tribbiani.'"
JOEY," Ooh, I look good."
 PHOEBE," Hey is this true, that you write a lot of your own lines?"
JOEY," Uh, well, kinda yeah. Like, remember last week when Alex was in the accident? Well"
PHOEBE," Ohh, ok, I see what you did there. Aren't you afraid though, that the writers are"
JOEY, Huh? Never really thought about the writers. The scripts just kinda come to my
[Scene, At a writer's desk. The writer is working on a script for Days of Our Lives.]
WRITER," Makes up most of his lines. Son-of-a-. Yeah, well, write this jerkweed."
[Scene, Joey's apartment. The next script is being delivered.]
JOEY," I fall down an elevator shaft? What the hell does this mean, I fall down an elevator"
DELIVERY GUY," Uhh, I don't know, I just bring the scripts."
JOEY," They can't kill me, I'm Francesca's long lost son."
 DELIVERY GUY, Right. Could you sign this?
JOEY," No. No way, I'm not signing that."
DELIVERY GUY, I don't think that's gonna affect the plot of the show.
JOEY, How can they do this to me?
DELIVERY GUY," Er, uh, I'm just gonna go. Sorry."
[Scene," Monica and Rachel's apartment. Monica, Richard, Ross, and Rachel are"
 MONICA," Well it wasn't that many guys. I mean, if you consider how"
RACHEL," Hey, it's not that big a deal, I was just curious."
ROSS, G'night.
RICHARD, Night Richard. Good luck Mon.
 MONICA," Alright, before I tell you, uh, why don't you tell me how"
RICHARD, Two.
MONICA," Two? TWO? How is that possible? I mean, have you seen you?"
RICHARD," Well, I mean what can I say? I, I was married to Barbara for 30 years. She was my"
MONICA," Two it is. Ok, time for bed, I'm gonna go brush my teeth. [goes in the bathroom]"
 RICHARD," Woah, woah, no wait a minute now. C'mon it's your turn. Oh"
MONICA," Ok, it is definitely less than a ballpark."
RACHEL," Wow, I am so glad I'm not Monica right now."
ROSS," Tell me about it. So what, what's your magic number?"
RACHEL, Uhhhooo.
 ROSS," C'mon, you know everyone I've been with. All, both of them."
 RACHEL," Well, there's you."
ROSS, Better not be doin' these in order.
RACHEL," Ok, uh, Billy Dreskin, Pete Carney, Barry, and uh, oh, Paolo."
ROSS," Oh yes, the weenie from Torrini."
RACHEL," Oh honey, are you jealous of Paolo? Oh, c'mon, I'm so much happier with you than I"
ROSS, Really?
 RACHEL, Oh please. That Paolo thing was barely a relationship. All
[Scene, Chandler and Eddie's apartment.]
CHANDLER," Eddie, I didn't sleep with your ex-girlfriend."
EDDIE," That's very interesting, ya know, 'cause that's exactly what someone who slept with"
CHANDLER," This is nuts. This is crazy. She came over for like two minutes, dropped off a"
EDDIE, Where's Buddy?
CHANDLER, Buddy?
EDDIE," My fish, Buddy."
CHANDLER, There was no fish when she dropped it off.
EDDIE," Oh, this is, this is unbelievable. I mean, first you sleep with my ex-girlfriend"
 CHANDLER, Hey I didn't kill your fish. Look Eddie...[puts his hand
[Scene, Monica and Rachel's apartment. Monica and Richard are in Monica's bedroom.]
RICHARD, That's it? That's the giant number you were afraid to tell me?
MONICA, Well yeah.
RICHARD," Well, that's not bad at all. I mean, you had me thinkin it was like a fleet."
MONICA, You really ok with it?
RICHARD," Oh honey, I'm fine."
MONICA," Oh, yay. Ok about that two."
RICHARD," What? Alright, what about my two?"
MONICA," Well, it just seems like a really small number."
RICHARD," Right, and..."
MONICA," And, well, don't you have a lot of wild oats to sew? Or is that what you're doing"
RICHARD," Honey, you are not an oat. I, I mean I don't know, I, I guess I'm just not an oat"
MONICA, But you've only slept with two people.
RICHARD, Right.
MONICA," Wow. Oh wow. You know I love you too, right."
RICHARD, Now I do. [they kiss and fall to the bed]
 RACHEL," Ross, Ross, please listen to me. Ross, you are so much"
ROSS," Oh, hey, if I make you laugh, here's an idea, why don't you invite Paulo over and"
RACHEL," God, Ross, look, what you and I have is special, all Paolo and I ever had was..."
 ROSS," Animal sex, animal sex? So what're you saying, I mean, you're"
RACHEL," Ok, Ross, try to hear me. Ok, I, hey, I'm not gonna lie to you. Ok, it was good"
ROSS, Knock-knock.
RACHEL," But, what you and I have is so much better. Ok, we have tenderness, we have"
ROSS, Until now. [jumps on Rachel on the bed]
RACHEL," Oh, hi."
MONICA, Hi. Richard just told me he loves me.
RACHEL," Oh my God, honey that's great."
MONICA, I know. I just can't find...
RACHEL, Oh they're in the top drawer. Hurry.
MONICA, You need one too?
RACHEL, Ooooh yeah.
MONICA, There's only one.
RICHARD, Monica.
MONICA," Hi. Uh, we'll be right there, we're just trying to decide something. [shuts the"
ROSS, [comes out of the bedroom] Rachel. [growls then sees Richard standing there] Hey.
RICHARD, Hey. They're just trying to decide somehting.
ROSS," Good, good, good. So, is uh, was your moustache, did, used to be different?"
RICHARD, No.
ROSS," Oh. How do you uh, ya know, keep it so neat?"
RICHARD, I have a little comb.
ROSS, Oh. And what do you call that?
RICHARD, A moustache comb.
 RACHEL," Ok, I, I will do your laundry for one month."
MONICA, No.
RACHEL," Ok, ok, ok, I will, I will, I, hey, I will clean the apartment for two months."
MONICA," Alright, I tell you what, I'll give this to you now if you can tell me where we"
RACHEL, Agghhh.
ROSS, So were you in Nam?
RACHEL, Rock-paper-scissors?
MONICA, Yeah.
RACHEL and MONICA," One two three. [Rachel picks rock, Monica picks scissors]"
RACHEL, Yeesss.
MONICA," Fine, go have sex."
RICHARD," No. You have got it completely wrong. John Savage was deerhunter, no legs, John"
ROSS," No, no way. You've got it totally the other way around my friend. John Voit was..."
RACHEL, Honey.
ROSS," What, what oh....[Ross and Rachel go into her room]"
RICHARD, Shall we?
 MONICA," It's not gonna happen. They're doing it tonight, we can do"
RICHARD," Uh, in the future, if I could see the schedule beforehand..."
[Scene, Monica and Rachel's apartment. All but Joey are present.]
CHANDLER," So, when I woke up this morning, he'd stolen all the insoles out of my shoes."
MONICA, Why?
CHANDLER, Because he thinks I slept with his ex-girlfriend and killed his fish.
 PHOEBE, Why would you kill his fish?
CHANDLER," Because sometimes, Phoebe after you sleep with someone, you have to kill the"
RACHEL," Chandler honey, I'm sorry. Ok, can we watch Joey's show now please? [they turn on"
ROSS, Yeah.
MONICA," Wait, he's not here yet."
RACHEL," So, he's on the show, he knows what happens."
ROSS, Yeah.
MONICA, Alright.
CHANDLER," Oh, I'm fine about my problem now, by the way."
RACHEL, Oh good.
DR. REMORE," Amber, I want you to know that I'll always be there for you, as a friend"
AMBER, Oh Drake.
DR HORTON," Hard day huh? First the medical award, this."
DR. REMORE, Some guys are just lucky I guess.
